Word,Coefficient
feels,-0.430652021
tough,-0.431212184
perfectly,-0.432097876
popular,-0.43454075
work,-0.436513685
accept,-0.437460828
packing,-0.439911153
stay,-0.443071929
kindness,-0.446535337
surprise,-0.448240151
room,-0.449117827
discovered,-0.449554312
habits,-0.450551879
news,-0.455503688
timeline,-0.456119273
master,-0.462298308
spring,-0.467336269
experience,-0.469317078
question,-0.474073011
matter,-0.477675627
drive,-0.478058165
way,-0.478155581
ve,-0.481406221
updates,-0.483122634
giving,-0.484337929
teen,-0.486575136
steps,-0.48664954
daughter,-0.491804887
seen,-0.491937895
special,-0.495524629
ny,-0.496416798
maskne,-0.496557495
openings,-0.496557495
experts,-0.49699422
stop,-0.500117178
money,-0.504351898
moms,-0.506458735
research,-0.511870735
video,-0.513428106
minute,-0.516584104
easy,-0.522356321
accounts,-0.525404259
choose,-0.526878638
books,-0.536026602
bestseller,-0.544102033
coming,-0.547151132
colleges,-0.553860536
mean,-0.556505073
forget,-0.5831287
young,-0.59629062
common,-0.597537171
pandemic,-0.603958442
conversation,-0.605651575
going,-0.612293337
lessons,-0.623681338
reminder,-0.637295507
fair,-0.63811944
sessions,-0.654084215
say,-0.655682584
hardest,-0.669221835
senior,-0.674546693
answered,-0.674722719
changed,-0.695147679
like,-0.708805228
summer,-0.720645429
resource,-0.720925368
father,-0.72559708
mom,-0.732716644
leaves,-0.744496661
virtual,-0.769172233
according,-0.776503312
use,-0.799698277
fall,-0.813815562
kids,-0.844417417
asap,-0.884440711
thing,-1.155361275
really,-1.173822503
nan,-1.557701134
